topic_id,rank,word
0,1,ai
0,2,business
0,3,tech
0,4,technology
0,5,real
0,6,new
0,7,agents
0,8,one
0,9,data
0,10,like
1,1,shacabka
1,2,soomaaliya
1,3,madaxweyne
1,4,dalka
1,5,somaliland
1,6,soomaaliyeed
1,7,dowladda
1,8,amniga
1,9,ahaan
1,10,dagaal
2,1,somalia
2,2,somaliland
2,3,israel
2,4,president
2,5,mogadishu
2,6,state
2,7,somali
2,8,political
2,9,security
2,10,stability
3,1,madaxweyne
3,2,puntland
3,3,madaxweynaha
3,4,xasan
3,5,sheekh
3,6,soomaaliya
3,7,government
3,8,magaalada
3,9,dowladda
3,10,kenya
4,1,election
4,2,politics
4,3,know
4,4,county
4,5,win
4,6,voters
4,7,labour
4,8,man
4,9,even
4,10,political
5,1,stock
5,2,daily
5,3,profits
5,4,stocks
5,5,mu
5,6,ai
5,7,money
5,8,prfx
6,1,war
6,2,pride
6,3,yin
6,4,ctw
6,5,warwanarat
6,6,yinyin_anw
6,7,yinwar
6,8,world
6,9,millions
7,1,cup
7,2,mundial
7,3,futbol
7,4,yshpmfwkcc
7,5,elchiringuitotv
7,6,juego
7,7,arsenal
8,1,nigeria
8,2,abuja
8,3,lack
8,4,government
8,5,round
8,6,nigerians
8,7,nigerian
8,8,2027
8,9,pdp
8,10,radionigeria
9,1,trump
9,2,politics
9,3,health
9,4,deal
9,5,fit
9,6,ppl
9,7,iran
9,8,annual
9,9,doctor
9,10,excellent
10,1,price
10,2,xgboost
10,3,optimized
10,4,average
10,5,accuracy
10,6,close
10,7,machinelearning
10,8,daily
10,9,model
10,10,achieved
