topic_id,rank,word
0,1,business
0,2,like
0,3,tech
0,4,model
0,5,technology
0,6,real
0,7,one
0,8,new
0,9,use
1,1,fifaworldcup
1,2,bafana
1,3,south
1,4,cup
1,5,world
1,6,africa
1,7,bafanapride
1,8,football
1,9,bafanabafana
2,1,somalia
2,2,somaliland
2,3,somali
2,4,mogadishu
2,5,ethiopia
2,6,puntland
2,7,young
2,8,alafricanews
2,9,failed
3,1,war
3,2,military
3,3,pride
3,4,ctw
3,5,yin
3,6,warwanarat
3,7,even
4,1,somaliland
4,2,israel
4,3,president
4,4,jerusalem
4,5,zion
4,6,friends
4,7,abdirahman
4,8,mohamed
4,9,award
5,1,stock
5,2,stocks
5,3,daily
5,4,profits
5,5,market
5,6,gold
6,1,election
6,2,politics
6,3,know
6,4,political
6,5,labour
6,6,votes
6,7,win
6,8,logic
6,9,still
7,1,somalia
7,2,development
7,3,uae
7,4,partnerships
7,5,stability
7,6,cooperation
7,7,education
7,8,support
7,9,healthcare
8,1,trump
8,2,donald
8,3,president
8,4,worst
8,5,politics
8,6,day
8,7,health
8,8,via
8,9,united
8,10,deal
9,1,iran
9,2,war
9,3,israel
9,4,palestine
9,5,america
9,6,usa
9,7,via
9,8,youtube
9,9,politics
9,10,trump
10,1,venezuela
10,2,earthquake
10,3,earthquakes
10,4,ready
10,5,caracas
10,6,agencies
10,7,help
10,8,airport
10,9,instructed
10,10,trump
11,1,political
11,2,somalia
11,3,opposition
11,4,reform
11,5,institutions
11,6,trust
11,7,security
11,8,governance
11,9,constitutional
11,10,peace
12,1,ukraine
12,2,russian
12,3,russia
12,4,war
12,5,drones
12,6,traitor
12,7,nato
12,8,putin
12,9,ukrainian
12,10,military
13,1,nigeria
13,2,abuja
13,3,lack
13,4,nigerian
13,5,nigerians
13,6,apc
13,7,government
13,8,juliusmalema
13,9,pdp
14,1,prices
14,2,economy
14,3,petrol
14,4,taxes
14,5,government
14,6,money
14,7,global
14,8,oil
14,9,crude
15,1,mexico
15,2,quiñones
15,3,mateo
15,4,classified
15,5,fidalgo
15,6,alvaro
15,7,chavez
15,8,czech
15,9,julian
16,1,forces
16,2,clashes
16,3,reportedly
16,4,update
16,5,attack
16,6,security
16,7,mogadishu
16,8,casualties
16,9,laftagareen
17,1,congress
17,2,emergency
17,3,democratic
17,4,chapters
17,5,darkest
17,6,india
17,7,rahulgandhi
17,8,gpcc
17,9,gandhi
17,10,democracy
18,1,president
18,2,kenya
18,3,talks
18,4,ruto
18,5,somalia
18,6,hassan
18,7,sheikh
18,8,kenyan
18,9,narok
19,1,humanitarian
19,2,funding
19,3,water
19,4,savelives
19,5,somalia
19,6,urgent
19,7,rubella
19,8,nutrition
19,9,crisis
19,10,health
20,1,muslim
20,2,first
20,3,ilhanomar
20,4,allegiance
20,5,deported
20,6,seize
20,7,radical
21,1,mohamed
21,2,meeting
21,3,awdal
21,4,met
21,5,minister
21,6,somaliland
21,7,osman
21,8,deputy
21,9,ambassador
21,10,discuss
22,1,government
22,2,wake
22,3,take
22,4,protests
22,5,white
22,6,people
22,7,around
22,8,police
22,9,want
22,10,see
23,1,madaxweyne
24,1,puntland
24,2,wasiir
25,1,somalia
25,2,somaliland
25,3,muqdisho
26,1,somaliland
26,2,somalia
26,3,internet
26,4,kenya
28,1,madaxweyne
28,2,buuhoodle
28,3,jubaland
28,4,sheikh
29,1,puntland
29,2,madaxweyne
30,1,madaxweyne
30,2,puntland
31,1,kenya
31,2,ruto
31,3,william
31,4,madaxweyne
33,1,hormuz
34,1,israel
34,2,somaliland
34,3,museum
