topic_id,rank,word
0,1,tech
0,2,model
0,3,real
0,4,one
0,5,new
1,1,south
1,2,africa
1,3,football
2,1,somalia
2,2,somaliland
2,3,somali
2,4,mogadishu
2,5,ethiopia
2,6,puntland
3,1,war
4,1,somaliland
4,2,israel
4,3,president
4,4,jerusalem
4,5,zion
4,6,friends
4,7,abdirahman
4,8,mohamed
4,9,award
6,1,election
6,2,politics
7,1,somalia
7,2,uae
7,3,stability
7,4,support
8,1,trump
8,2,president
8,3,politics
8,4,day
8,5,health
8,6,via
8,7,united
9,1,iran
9,2,war
9,3,israel
9,4,america
9,5,usa
9,6,via
9,7,politics
9,8,trump
10,1,ready
10,2,airport
10,3,trump
11,1,somalia
11,2,security
11,3,peace
12,1,ukraine
12,2,war
12,3,nato
14,1,global
16,1,forces
16,2,update
16,3,security
16,4,mogadishu
16,5,laftagareen
17,1,india
18,1,president
18,2,kenya
18,3,ruto
18,4,somalia
18,5,hassan
18,6,sheikh
18,7,narok
19,1,humanitarian
19,2,somalia
19,3,health
20,1,ilhan
21,1,mohamed
21,2,awdal
21,3,minister
21,4,somaliland
21,5,osman
22,1,people
22,2,around
22,3,police
23,1,soomaaliya
23,2,sheekh
23,3,dowladda
23,4,ciidamada
23,5,magaalada
23,6,shacabka
23,7,madaxweyne
23,8,baydhabo
23,9,madaxweynaha
23,10,xasan
24,1,badan
24,2,shacabka
24,3,doorasho
24,4,puntland
24,5,reer
24,6,dadka
24,7,soomaaliya
24,8,suuqa
24,9,wasiir
25,1,somalia
25,2,somaliland
25,3,soomaaliya
25,4,muqdisho
25,5,siyaasadeed
25,6,shacabka
25,7,amni
25,8,dalka
25,9,amniga
25,10,halkaan
26,1,somaliland
26,2,somalia
26,3,internet
26,4,starlink
26,5,xaashi
26,6,aqoonsiga
26,7,kenya
26,8,madaxweynaha
26,9,sandheer
26,10,shacabka
27,1,ummadda
27,2,islaamka
27,3,ahaan
27,4,soomaaliyeed
27,5,sannadka
27,6,hambalyeynayaa
27,7,curashada
27,8,barwaaqo
27,9,rajeynayaa
28,1,dagaal
28,2,hindiya
28,3,madaxweyne
28,4,buuhoodle
28,5,jubaland
28,6,hsm
28,7,siciid
28,8,sheikh
28,9,dhaqan
28,10,dani
29,1,puntland
29,2,faroole
29,3,shaqo
29,4,gudbaynaa
29,5,mandaqadda
29,6,madaxweyne
29,7,ciidamada
29,8,xalay
29,9,deg
29,10,garoowe
30,1,soomaalidu
30,2,yuusan
30,3,madaxweyne
30,4,waxaasi
30,5,jaray
30,6,oggolayn
30,7,adkaado
30,8,الكل
30,9,puntland
30,10,asad
31,1,kenya
31,2,xasan
31,3,madaxweynaha
31,4,ruto
31,5,sheekh
31,6,william
31,7,madaxweyne
31,8,maxamuud
31,9,dalka
31,10,soomaaliya
32,1,hol
32,2,juun
32,3,axad
32,4,dowladda
32,5,isniin
32,6,madoobe
33,1,mesi
33,2,abiyahmed
33,3,hormuz
33,4,qabsaday
33,5,mudug
33,6,taliyaha
33,7,dadaallada
33,8,sare
33,9,adag
33,10,gudaha
34,1,israel
34,2,somaliland
34,3,kkkkkkkkkkkkkk
34,4,drqalooc
34,5,museum
34,6,qalooc
34,7,qaybgashey
34,8,alla
