topic_id,rank,word
0,1,things
0,2,plan
0,3,bright
0,4,government
0,5,world
0,6,get
0,7,work
0,8,first
0,9,across
0,10,done
1,1,time
1,2,somalia
1,3,looking
1,4,even
1,5,going
1,6,city
1,7,much
1,8,girls
1,9,united
1,10,clear
2,1,think
2,2,somalia
2,3,probably
2,4,amp
2,5,better
2,6,comment
2,7,100
2,8,code
2,9,use
2,10,giveaway
3,1,2026
3,2,victory
3,3,enhypen
3,4,new
3,5,well
3,6,made
3,7,music
3,8,everything
3,9,said
3,10,back
4,1,somaliland
4,2,look
4,3,never
4,4,always
4,5,bitcoin
4,6,israel
4,7,channel
4,8,stop
4,9,far
4,10,ill
5,1,still
5,2,stay
5,3,growing
5,4,home
5,5,business
5,6,army
5,7,immediately
5,8,fast
5,9,chance
5,10,masjid
6,1,people
6,2,dont
6,3,guess
6,4,fight
6,5,know
6,6,today
6,7,ready
6,8,post
6,9,read
6,10,credit
7,1,video
7,2,support
7,3,version
7,4,think
7,5,trump
7,6,iran
7,7,political
7,8,breaking
7,9,free
7,10,congress
