topic_id,rank,word
0,1,world
0,2,mexico
0,3,cup
0,4,somaliland
0,5,group
0,6,fifaworldcup
0,7,match
0,8,last
0,9,republic
0,10,one
1,1,politics
1,2,government
1,3,good
1,4,think
1,5,via
1,6,economy
1,7,israel
1,8,iran
1,9,business
1,10,people
2,1,somaliland
2,2,somalia
2,3,new
2,4,mogadishu
2,5,world
2,6,video
2,7,venezuela
2,8,israel
2,9,amp
2,10,government
3,1,somaliland
3,2,president
3,3,trump
3,4,israel
3,5,people
3,6,government
3,7,somalia
3,8,ready
3,9,friends
3,10,edits
4,1,fifaworldcup
4,2,south
4,3,bafana
4,4,africa
4,5,people
4,6,data
4,7,2026
4,8,one
4,9,bafanapride
4,10,korea
5,1,war
5,2,somalia
5,3,somaliland
5,4,security
5,5,one
5,6,water
5,7,new
5,8,iran
5,9,people
5,10,today
6,1,new
6,2,aiart
6,3,nsfw
6,4,work
6,5,one
6,6,future
6,7,video
6,8,government
6,9,many
6,10,made
7,1,somalia
7,2,president
7,3,somaliland
7,4,israel
7,5,kenya
7,6,war
7,7,government
7,8,election
7,9,like
7,10,cooperation
8,1,somalia
8,2,amp
8,3,war
8,4,trump
8,5,mogadishu
8,6,iran
8,7,politics
8,8,every
8,9,dont
8,10,people
9,1,amp
9,2,somalia
9,3,people
9,4,president
9,5,like
9,6,somaliland
9,7,one
9,8,minister
9,9,technology
9,10,built
10,1,somalia
10,2,business
10,3,time
10,4,support
10,5,earthquake
10,6,follow
10,7,government
10,8,get
10,9,build
10,10,somali
11,1,somaliland
11,2,israel
11,3,madaxweyne
11,4,somalia
11,5,puntland
11,6,deni
12,1,puntland
12,2,madaxweyne
12,3,somalia
13,1,puntland
13,2,muqdisho
13,3,golaha
13,4,somalia
14,1,golaha
14,2,somaliland
14,3,madaxweyne
14,4,somalia
14,5,puntland
15,1,kenya
15,2,madaxweyne
15,3,somalia
15,4,muqdisho
15,5,ruto
16,1,2026
17,1,puntland
17,2,aadan
17,3,madaxweyne
18,1,somaliland
18,2,madaxweyne
18,3,wasiir
18,4,israel
19,1,somalia
19,2,galmudug
20,1,puntland
21,1,somalia
22,1,madaxweyne
22,2,somalia
