topic_id,rank,word
0,1,somaliland
0,2,group
0,3,republic
0,4,one
1,1,politics
1,2,good
1,3,via
1,4,israel
1,5,iran
1,6,people
2,1,somaliland
2,2,somalia
2,3,new
2,4,mogadishu
2,5,video
2,6,israel
3,1,somaliland
3,2,president
3,3,trump
3,4,israel
3,5,people
3,6,somalia
3,7,ready
3,8,friends
4,1,south
4,2,africa
4,3,people
4,4,2026
4,5,one
5,1,war
5,2,somalia
5,3,somaliland
5,4,security
5,5,one
5,6,new
5,7,iran
5,8,people
6,1,new
6,2,one
6,3,video
7,1,somalia
7,2,president
7,3,somaliland
7,4,israel
7,5,kenya
7,6,war
7,7,election
8,1,somalia
8,2,war
8,3,trump
8,4,mogadishu
8,5,iran
8,6,politics
8,7,people
9,1,somalia
9,2,people
9,3,president
9,4,somaliland
9,5,one
9,6,minister
10,1,somalia
10,2,time
10,3,support
10,4,somali
11,1,somaliland
11,2,israel
11,3,madaxweyne
11,4,soomaaliya
11,5,somalia
11,6,puntland
11,7,deni
11,8,caawa
11,9,israaiil
11,10,ciidamada
12,1,puntland
12,2,dagaal
12,3,magaalada
12,4,baydhabo
12,5,xasan
12,6,sheekh
12,7,ciidamada
12,8,madaxweyne
12,9,amniga
12,10,somalia
13,1,soomaaliya
13,2,puntland
13,3,dowladda
13,4,muqdisho
13,5,federaalka
13,6,golaha
13,7,somalia
13,8,siyaasadeed
13,9,xisbiga
13,10,baarlamaanka
14,1,shacabka
14,2,golaha
14,3,somaliland
14,4,madaxweyne
14,5,soomaaliya
14,6,somalia
14,7,xilka
14,8,puntland
14,9,guddoomiyaha
14,10,xaashi
15,1,soomaaliya
15,2,xasan
15,3,sheekh
15,4,madaxweynaha
15,5,kenya
15,6,madaxweyne
15,7,somalia
15,8,muqdisho
15,9,maxamed
15,10,ruto
16,1,ahaan
16,2,soomaaliyeed
16,3,gaar
16,4,ummadda
16,5,islaamka
16,6,ciidamada
16,7,dowladda
16,8,nabad
16,9,sannadka
16,10,2026
17,1,amniga
17,2,puntland
17,3,aadan
17,4,sheegay
17,5,madaxweyne
17,6,deg
17,7,gobolka
17,8,adag
17,9,diyaar
17,10,qoyska
18,1,somaliland
18,2,badan
18,3,dadka
18,4,madaxweyne
18,5,wasiir
18,6,shacabka
18,7,dagaal
18,8,israel
18,9,qarax
18,10,dal
19,1,suuqa
19,2,somalia
19,3,kubadda
19,4,reer
19,5,cagta
19,6,soomaaliya
19,7,galmudug
19,8,shacabka
19,9,dalka
19,10,weyn
20,1,puntland
20,2,dalka
20,3,calanka
20,4,dhulka
20,5,shacabka
20,6,bulshada
20,7,kara
20,8,dowladda
20,9,dagaal
20,10,dadka
21,1,somalia
21,2,dalka
21,3,israaiil
21,4,caafimaad
21,5,badan
21,6,dhaqaalaha
21,7,maamulka
21,8,hambalyo
21,9,alle
21,10,1448
22,1,madaxweyne
22,2,ciidamada
22,3,xasan
22,4,somalia
22,5,shacabka
22,6,bari
22,7,dani
22,8,dhaqaalaha
22,9,milyan
22,10,deg
