topic_id,rank,word
0,1,somaliland
0,2,israel
0,3,president
0,4,republic
0,5,jerusalem
0,6,guul
0,7,abdirahman
0,8,hargeisa
0,9,welcome
0,10,zion
1,1,somalia
1,2,mogadishu
1,3,somali
1,4,security
1,5,kenya
1,6,president
1,7,somalias
1,8,stability
1,9,cooperation
1,10,political
2,1,madaxweyne
2,2,xasan
2,3,sheekh
2,4,deni
2,5,kenya
2,6,cirro
2,7,puntland
2,8,hadlay
2,9,madaxweynaha
2,10,ruto
3,1,business
3,2,government
3,3,amp
3,4,like
3,5,people
3,6,one
3,7,new
3,8,real
3,9,get
3,10,follow
4,1,war
4,2,pride
4,3,going
4,4,ctw
4,5,yin
4,6,ctwpride2026xyinwar
4,7,iran
4,8,ready
4,9,stop
4,10,fucking
5,1,soomaaliya
5,2,dowladda
5,3,shacabka
5,4,federaalka
5,5,golaha
5,6,muqdisho
5,7,ciidamada
5,8,puntland
5,9,dalka
5,10,amniga
6,1,via
6,2,politics
6,3,israel
6,4,iran
6,5,usa
6,6,palestine
6,7,america
6,8,trump
6,9,powerfully
6,10,unmasked
7,1,ummadda
7,2,ahaan
7,3,islaamka
7,4,soomaaliyeed
7,5,1448
7,6,sannadka
7,7,nabad
7,8,shacabka
7,9,curashada
7,10,gaar
