topic_id,rank,word
0,1,somaliland
0,2,israel
0,3,republic
0,4,jerusalem
0,5,recognition
0,6,hargeisa
0,7,state
0,8,abdirahman
0,9,africa
0,10,knesset
1,1,mexico
1,2,congratulations
1,3,chavez
1,4,alvaro
1,5,mateo
1,6,quiñones
1,7,r32
1,8,fidalgo
1,9,classified
1,10,czech
2,1,war
2,2,iran
2,3,going
2,4,stop
2,5,world
2,6,pride
2,7,new
2,8,ctw
2,9,ctwpride2026xyinwar
2,10,yin
3,1,somalia
3,2,mogadishu
3,3,somali
3,4,security
3,5,alafricanews
3,6,somalias
3,7,kenya
3,8,support
3,9,cooperation
3,10,uae
4,1,business
4,2,amp
4,3,one
4,4,new
4,5,like
4,6,people
4,7,real
4,8,think
4,9,future
4,10,technology
5,1,fifaworldcup
5,2,bafana
5,3,south
5,4,africa
5,5,bafanapride
5,6,bafanabafana
5,7,korea
5,8,round
5,9,fwc2026
5,10,maseko
6,1,president
6,2,trump
6,3,kenya
6,4,zion
6,5,sheikh
6,6,hassan
6,7,friends
6,8,republic
6,9,talks
6,10,mohamed
7,1,politics
7,2,via
7,3,iran
7,4,usa
7,5,palestine
7,6,america
7,7,israel
7,8,trump
7,9,unmasked
7,10,powerfully
8,1,world
8,2,cup
8,3,football
8,4,futbol
8,5,juego
8,6,mundial
8,7,game
8,8,el_larguero
8,9,el_partidazo
8,10,estudio_estadio
9,1,government
9,2,venezuela
9,3,ready
9,4,earthquake
9,5,people
9,6,help
9,7,trump
9,8,get
9,9,federal
9,10,earthquakes
10,1,stock
10,2,follow
10,3,daily
10,4,market
10,5,prfx
10,6,profits
10,7,money
10,8,picks
10,9,stocks
10,10,recommendations
11,1,muqdisho
11,2,2026
12,1,somaliland
12,2,israel
12,3,guul
12,4,cirro
13,1,madaxweyne
13,2,deni
13,3,kenya
13,4,ruto
14,1,somalia
14,2,mogadishu
14,3,muqdisho
14,4,villa
14,5,djibouti
16,1,puntland
16,2,deni
17,1,dad
17,2,laftagareen
17,3,galbeed
17,4,koonfur
18,1,mudane
19,1,golaha
19,2,aadan
