topic_id,rank,word
0,1,somaliland
0,2,israel
0,3,republic
0,4,jerusalem
0,5,hargeisa
0,6,state
0,7,abdirahman
0,8,africa
0,9,knesset
2,1,war
2,2,iran
2,3,stop
2,4,new
3,1,somalia
3,2,mogadishu
3,3,somali
3,4,security
3,5,kenya
3,6,support
3,7,uae
4,1,one
4,2,new
4,3,people
4,4,real
5,1,south
5,2,africa
6,1,president
6,2,trump
6,3,kenya
6,4,zion
6,5,sheikh
6,6,hassan
6,7,friends
6,8,republic
6,9,mohamed
7,1,politics
7,2,via
7,3,iran
7,4,usa
7,5,america
7,6,israel
7,7,trump
8,1,football
9,1,ready
9,2,people
9,3,trump
9,4,federal
11,1,soomaaliya
11,2,dowladda
11,3,federaalka
11,4,muqdisho
11,5,dalka
11,6,siyaasadeed
11,7,nidaamka
11,8,mucaaradka
11,9,2026
11,10,doorasho
12,1,somaliland
12,2,israel
12,3,guul
12,4,nijaaseeyay
12,5,qaran
12,6,aqoonsiga
12,7,𝐦𝐚𝐚𝐦𝐮𝐮𝐬𝐚𝐲
12,8,cirro
12,9,xaashi
12,10,baarlamaanka
13,1,madaxweyne
13,2,xasan
13,3,sheekh
13,4,deni
13,5,maxamuud
13,6,kenya
13,7,hadlay
13,8,madaxweynaha
13,9,shariif
13,10,ruto
14,1,somalia
14,2,mogadishu
14,3,muqdisho
14,4,siyaasadeed
14,5,villa
14,6,djibouti
14,7,soomaalida
14,8,amni
14,9,xasilloonida
14,10,magaalooyinka
15,1,ummadda
15,2,islaamka
15,3,ahaan
15,4,soomaaliyeed
15,5,1448
15,6,sannadka
15,7,nabad
15,8,curashada
15,9,gaar
15,10,barwaaqo
16,1,puntland
16,2,ciidamada
16,3,reer
16,4,deni
16,5,siyaasiyiinta
16,6,dowladda
16,7,garoowe
16,8,deg
16,9,dhalinyarada
16,10,madaxweynaha
17,1,dagaal
17,2,baydhabo
17,3,magaalada
17,4,dhacay
17,5,ciidamada
17,6,dad
17,7,laftagareen
17,8,galbeed
17,9,koonfur
17,10,duleedka
18,1,israaiil
18,2,dhaqaalaha
18,3,wasiirka
18,4,madaxweynaha
18,5,muhiim
18,6,amniga
18,7,horumarinta
18,8,mudane
18,9,kulan
18,10,yeeshay
19,1,shacabka
19,2,golaha
19,3,guddoomiyaha
19,4,baarlamaanka
19,5,aadan
19,6,badan
19,7,xilka
19,8,xildhibaan
19,9,sacdiyo
19,10,guddoomiye
